,date,open,high,low,close,volume,average,barCount
517,2022-07-11,145.71,146.64,143.78,144.87,43878003.0,145.19,203524
518,2022-07-12,145.83,148.45,145.05,145.86,58580126.0,146.909,265391
519,2022-07-13,142.99,146.45,142.12,145.49,50583920.0,145.207,240408
520,2022-07-14,144.09,148.95,143.25,148.47,60879667.0,146.486,280202
521,2022-07-15,149.82,150.86,148.2,150.17,55472678.0,149.406,245934
522,2022-07-18,150.75,151.57,146.7,147.07,60692283.0,149.247,285189
523,2022-07-19,147.93,151.23,146.91,151.0,59077983.0,149.583,269119
524,2022-07-20,151.07,153.72,150.37,153.04,49598813.0,152.609,233309
525,2022-07-21,154.56,155.57,151.94,155.35,47477793.0,154.251,220994
526,2022-07-22,155.39,156.28,153.41,154.09,50924150.0,154.663,246453
527,2022-07-25,154.01,155.04,152.28,152.95,40900326.0,153.312,200097
528,2022-07-26,152.26,153.09,150.8,151.6,39639710.0,151.671,205624
529,2022-07-27,152.55,157.33,152.16,156.79,52854895.0,155.03,255480
530,2022-07-28,156.98,157.64,154.41,157.35,51866668.0,156.577,255041
531,2022-07-29,161.24,163.63,159.5,162.51,68695588.0,162.268,304007
532,2022-08-01,161.01,163.59,160.89,161.51,46192783.0,162.244,222869
533,2022-08-02,160.11,162.41,159.63,160.01,42690206.0,160.784,217316
534,2022-08-03,160.84,166.59,160.75,166.13,58706333.0,164.884,272840
535,2022-08-04,166.01,167.19,164.43,165.81,40438699.0,165.563,195662
536,2022-08-05,163.23,165.85,163.0,165.35,41333126.0,164.696,197265
537,2022-08-08,166.37,167.81,164.2,164.87,39581359.0,165.869,195716
538,2022-08-09,164.01,165.82,163.25,164.92,42801907.0,164.838,211222
539,2022-08-10,167.66,169.34,166.9,169.24,49248193.0,168.241,229808
540,2022-08-11,170.06,170.99,168.19,168.49,41336027.0,169.488,205747
541,2022-08-12,169.84,172.17,169.4,172.1,48828375.0,170.939,223157
542,2022-08-15,171.51,173.39,171.34,173.19,36483134.0,172.574,173375
543,2022-08-16,172.77,173.71,171.66,173.03,40015046.0,172.682,193965
544,2022-08-17,172.77,176.15,172.57,174.55,61086473.0,174.33,286267
545,2022-08-18,173.74,174.9,173.12,174.15,47351175.0,174.144,220128
546,2022-08-19,173.03,173.74,171.31,171.52,51819981.0,172.328,234097
547,2022-08-22,169.71,169.86,167.13,167.57,47281325.0,168.378,242983
548,2022-08-23,167.13,168.71,166.65,167.23,40081047.0,167.672,210547
549,2022-08-24,167.41,168.11,166.24,167.53,40183318.0,167.277,200818
550,2022-08-25,168.78,170.14,168.35,170.03,37654463.0,169.272,188550
551,2022-08-26,170.57,171.05,163.56,163.62,52371892.0,166.476,271427
552,2022-08-29,161.15,162.9,159.82,161.38,54532690.0,161.557,247389
553,2022-08-30,162.16,162.56,157.72,158.91,58445551.0,159.297,269101
554,2022-08-31,160.31,160.58,157.14,157.22,51675701.0,158.909,262475
555,2022-09-01,156.64,158.42,154.67,157.96,57746715.0,156.391,280693
556,2022-09-02,159.73,160.37,154.96,155.81,58508412.0,157.864,288529
557,2022-09-06,156.46,157.09,153.69,154.53,56517573.0,155.044,276137
558,2022-09-07,154.8,156.67,153.61,155.96,68453430.0,155.253,310635
559,2022-09-08,154.65,156.36,152.68,154.46,64071159.0,154.377,309370
560,2022-09-09,155.48,157.82,154.75,157.37,49750564.0,156.636,238582
561,2022-09-12,159.6,164.26,159.3,163.43,78753651.0,162.4,356654
562,2022-09-13,160.01,160.54,153.37,153.84,87158911.0,156.351,417593
563,2022-09-14,154.76,157.1,153.61,155.31,65474174.0,155.261,319903
564,2022-09-15,154.65,155.24,151.38,152.37,66350386.0,153.085,317738
565,2022-09-16,151.21,151.35,148.37,150.7,92297663.0,150.002,388672
566,2022-09-19,149.31,154.56,149.1,154.48,62375843.0,152.34,301430
567,2022-09-20,153.4,158.08,153.08,156.9,87793543.0,156.097,368353
568,2022-09-21,157.44,158.74,153.6,153.72,79131651.0,156.547,355763
569,2022-09-22,152.3,154.47,150.91,152.74,68915401.0,152.539,317389
570,2022-09-23,151.2,151.47,148.56,150.43,74353224.0,149.959,347569
571,2022-09-26,149.66,153.78,149.64,150.77,71643441.0,151.633,347602
572,2022-09-27,152.79,154.72,149.94,151.76,64998053.0,152.146,319570
573,2022-09-28,147.64,150.65,144.84,149.84,111039393.0,147.428,492219
574,2022-09-29,146.1,146.72,140.68,142.48,98773283.0,142.831,455228
575,2022-09-30,141.2,143.1,138.0,138.2,87106210.0,140.81,402597
576,2022-10-03,138.26,143.07,137.68,142.45,82722763.0,141.135,357808
577,2022-10-04,145.03,146.22,144.26,146.1,63574086.0,145.403,298732
578,2022-10-05,144.07,147.38,143.01,146.4,62976887.0,145.186,284095
579,2022-10-06,145.89,147.54,145.22,145.43,51856533.0,146.117,259826
580,2022-10-07,142.58,143.1,139.44,140.09,60802414.0,140.863,292875
581,2022-10-10,140.42,141.89,138.57,140.42,58800151.0,140.177,280197
582,2022-10-11,139.89,141.35,138.22,138.98,61306390.0,139.588,280297
583,2022-10-12,139.13,140.36,138.16,138.34,54161218.0,139.172,261215
584,2022-10-13,134.99,143.59,134.37,142.99,90294352.0,139.689,422176
585,2022-10-14,144.29,144.52,138.19,138.38,67337698.0,140.081,322242
586,2022-10-17,141.06,142.9,140.27,142.41,63873691.0,141.896,282677
587,2022-10-18,145.34,146.7,140.61,143.75,81019756.0,144.055,378025
588,2022-10-19,141.64,144.95,141.5,143.86,49161776.0,143.424,238919
589,2022-10-20,143.02,145.89,142.65,143.39,48877905.0,144.337,238478
590,2022-10-21,142.87,147.85,142.64,147.27,66568041.0,145.393,297766
591,2022-10-24,147.11,150.23,146.0,149.45,58429666.0,148.275,275042
592,2022-10-25,150.16,152.49,149.36,152.34,54969470.0,151.365,244434
593,2022-10-26,150.9,151.99,148.04,149.35,65318650.0,150.095,318495
594,2022-10-27,148.07,149.05,144.13,144.8,66936381.0,145.913,322832
595,2022-10-28,148.08,157.5,147.82,155.74,131631088.0,154.655,546763
596,2022-10-31,153.16,154.24,151.92,153.34,67248938.0,153.251,297611
597,2022-11-01,155.06,155.45,149.13,150.65,62841242.0,150.958,289300
598,2022-11-02,149.07,152.17,145.0,145.03,70959669.0,148.655,336019
599,2022-11-03,142.07,142.8,138.75,138.88,72694765.0,140.235,339127
600,2022-11-04,142.09,142.67,134.38,138.38,109809677.0,137.189,463262
601,2022-11-07,137.11,139.15,135.67,138.92,63056199.0,137.367,269586
602,2022-11-08,140.29,141.43,137.49,139.5,62927330.0,139.574,264691
603,2022-11-09,138.47,138.55,134.59,134.87,53464494.0,136.17,242074
604,2022-11-10,141.24,146.87,140.4,146.87,80019284.0,143.726,363295
605,2022-11-11,145.82,150.0,144.37,149.7,70086656.0,148.02,309288
606,2022-11-14,149.06,150.28,147.43,148.28,52169059.0,148.795,234977
607,2022-11-15,152.25,153.59,148.56,150.04,69194368.0,151.397,321048
608,2022-11-16,148.96,149.87,147.29,148.79,46067495.0,148.589,203829
609,2022-11-17,146.56,151.48,146.15,150.72,59138702.0,149.564,247986
610,2022-11-18,152.17,152.7,149.97,151.29,54764871.0,151.173,228762
611,2022-11-21,150.08,150.37,147.71,148.01,43256924.0,148.536,192137
612,2022-11-22,148.13,150.42,146.92,150.18,38202760.0,149.024,158636
613,2022-11-23,149.43,151.83,149.34,151.07,44513767.0,150.796,184077
614,2022-11-25,148.31,148.88,147.12,148.11,26091532.0,148.122,113005
615,2022-11-28,145.18,146.64,143.38,144.22,50103346.0,144.876,222357
616,2022-11-29,144.29,144.81,140.35,141.17,66144366.0,142.101,295923
617,2022-11-30,141.42,148.03,140.55,148.03,68245060.0,144.083,297847
618,2022-12-01,148.3,149.13,146.61,148.31,48315540.0,148.023,217687
619,2022-12-02,146.01,148.0,145.65,147.81,44363190.0,146.673,187735
620,2022-12-05,147.73,150.92,145.77,146.63,52452929.0,147.784,230157
621,2022-12-06,147.06,147.3,141.94,142.91,48600368.0,143.905,220003
622,2022-12-07,142.19,143.37,140.0,140.94,51108772.0,141.187,223067
623,2022-12-08,142.4,143.52,141.1,142.65,44267422.0,142.498,187550
624,2022-12-09,142.34,145.57,140.9,142.16,52260740.0,143.528,224627
625,2022-12-12,142.9,144.5,141.06,144.49,44958746.0,142.707,187635
626,2022-12-13,149.43,149.97,144.24,145.47,65659197.0,146.684,306761
